request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,426.86,affordable_later,wait,2024-07-15:1302.4,2024-07-15,none,"Pay EUR 1,302.40 in full on 15 July 2024. Paying earlier would take the balance below the EUR 1,100 minimum."
request_29,32600.95,not_affordable,not_recommended,none,,none,"Do not make this payment by 23 November 2025. None of the available options keeps the ZAR 28,300 minimum protected."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 900 available."
request_31,5622969.36,affordable_later,wait,2024-10-15:18164000,2024-10-15,none,"Pay IDR 18,164,000 in full on 15 October 2024. Paying earlier would take the balance below the IDR 16,588,900 minimum."
request_32,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 April 2025. None of the available options keeps the ZAR 35,700 minimum protected."
request_33,51076.69,affordable_later,wait,2026-01-15:118000,2026-01-15,none,"Pay INR 118,000 in full on 15 January 2026. Paying earlier would take the balance below the INR 102,100 minimum."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,55311.94,affordable_later,wait,2025-12-15:212000,2025-12-15,none,"Pay INR 212,000 in full on 15 December 2025. Paying earlier would take the balance below the INR 106,400 minimum."
request_36,921.23,affordable_later,wait,2026-08-15:3954,2026-08-15,none,"Pay USD 3,954 in full on 15 August 2026. Paying earlier would take the balance below the USD 2,400 minimum."
request_37,5605471.49,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,"Pay IDR 14,649,000 in full on 15 May 2024. Paying earlier would take the balance below the IDR 17,056,200 minimum."
request_38,231.15,affordable_later,wait,2025-09-15:971.3,2025-09-15,none,Pay EUR 971.30 in full on 15 September 2025. Paying earlier would take the balance below the EUR 400 minimum.
request_39,161042.56,affordable_later,wait,2026-04-15:208600,2026-04-15,none,"Pay INR 208,600 in full on 15 April 2026. Paying earlier would take the balance below the INR 213,400 minimum."
request_40,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 August 2024. None of the available options keeps the EUR 1,500 minimum protected."
request_41,10223353.98,affordable_later,wait,2025-12-15:38760000,2025-12-15,none,"Pay IDR 38,760,000 in full on 15 December 2025. Paying earlier would take the balance below the IDR 25,366,600 minimum."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 113,100 available over the next 90 days."
request_43,9800089.91,affordable_later,wait,2024-10-15:43339000,2024-10-15,none,"Pay IDR 43,339,000 in full on 15 October 2024. Paying earlier would take the balance below the IDR 21,398,000 minimum."
request_44,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 April 2025. None of the available options keeps the INR 82,900 minimum protected."
request_45,6373118.43,affordable_later,wait,2026-08-15:21983000,2026-08-15,none,"Pay IDR 21,983,000 in full on 15 August 2026. Paying earlier would take the balance below the IDR 11,149,800 minimum."
request_46,49450,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,"Use 2 installments of INR 25,714, starting 3 December 2024. This leaves at least INR 84,000 available."
request_47,26600464.69,not_affordable,not_recommended,none,,none,"Do not make this payment by 19 June 2025. None of the available options keeps the IDR 30,049,000 minimum protected."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days."
request_49,14314214.7,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-03-15,none,"Use 3 installments of IDR 11,902,106.67, starting 18 March 2024. This leaves at least IDR 20,275,700 available."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 99,700 available over the next 90 days."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days."
request_52,26530,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870 in full on 15 June 2024. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,620.26,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-12-15,none,"Use 3 installments of USD 589.06, starting 21 November 2025. This leaves at least USD 2,100 available."
request_54,8418.83,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 August 2026. None of the available options keeps the ZAR 37,000 minimum protected."
request_55,139236.59,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-15,none,"Use 3 installments of INR 75,781.33, starting 11 June 2026. This leaves at least INR 124,300 available."
request_56,762.6,affordable_with_plan,partial_payment,2025-02-03:762.6|2025-02-15:118.96,2025-02-15,none,"Pay USD 762.60 today and the remaining USD 118.96 on 15 February 2025. This completes the full request and keeps the USD 2,100 minimum protected."
